"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"preppy-3","14 February 2008","Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.","
            9/10
            "
"TheLittleSongbird","18 May 2010","From David Fincher, Se7en is a compelling and brilliant postmodern film noir. It is grim and disturbing but it is also very intelligent and daring. What I did love about Se7en especially is that it is incredibly stylish, beautiful dark cinematography and dazzling landscapes really do add to the atmosphere. Very little of the murders are shown but we are appalled and shocked by what we hear of them, the action is tense and the climax is shattering. There is also an intelligent screenplay, a clever plot telling of a vicious serial killer who murders his victims in a gruesome way to atone for the sins(gluttony, greed, sloth, lust, pride, envy and wrath)he deems them to have committed and excellent direction. The acting is also superb, Morgan Freeman gives another brilliant performance as the disillusioned detective and Brad Pitt is great as Mills in a more meatier role than he has ever done. Gwyneth Paltrow makes a small yet significant appearance as Mill's uneasy wife, while Kevin Spacey superbly delivers equally superb dialogue as John Doe despite the fact he isn't in the film much. Overall, a brilliant film, with adept performances, direction, style and ambition. 10/10 Bethany Cox","
            10/10
            "
"Boba_Fett1138","30 April 2004","Rarely there has been a movie with such a good dark and chilling  atmosphere. I even see this movie more as an horror movie than as a  thriller because of that.  ""Se7en"" is unique in many ways. The movies mood is already set right  from the beginning on. The movie starts dark, intense, chilling and  mysterious, a mood that is present throughout the entire movie. It's  very depressing to watch and I mean that in a positive way of the  meaning of the word. The mood is set by good camera work and lighting,  or better said, the lack of it. The music from acclaimed composer  Howard Shore also adds to the chilling atmosphere.  Unlike many other movies from the same genre, the movie is slow paced  and takes it time to develop the characters without falling into some  obvious cliché's. The two main characters played by Morgan Freeman and  Brad Pitt are presented as an unlikely police-couple that are different  in many ways from each other but in a way that is also what makes them  such a great couple. Brad Pitt for once has the opportunity to play  more than just the pretty boy and he does it with success. Kevin Spacey  truly plays a bone chilling character, almost just as legendary and  chilling as Hannibal Lecter. I would very much like to see the two of  them put in the same room, just to see who would make it out alive.  Further more it was great to see R. Lee Emrey again as the police  captain.  The movie is filled with some truly gross, sickening and horrifying  scene's, this seriously ain't no kids stuff! The movie has some of the  most sickening murders I have ever seen featured in a movie. But it  aren't just only the gross scene's that are good, there are also some  scene's that are made with lot's of beauty and profession such as the  library scene.  Dark and chilling movie that you will never forget also thanks to the  ending which I will not spoil for you. A real must see.  10/10","
            10/10
            "
"tomgillespie2002","1 March 2014","After his calamitous experience working on his début film Alien 3 (1992), David Fincher took on a small genre picture that, little did he know, would revitalise his career and become one of the greatest films of the 1990's. Se7en appears to begin as your typical detective neo- noir, with the cynical veteran and the naive rookie taking on an elusive serial killer seemed hell-bent on turning the sin against the sinner. But, set in an unnamed and permanently drizzly American city, Se7en is a meditation on evil and a pessimist's depiction on the modern world, climaxing in one of the bravest and most memorable endings in Hollywood history.Detective Somerset (Morgan Freeman) is on the verge of retirement, where he plans to leave his inner-city life behind him after years of fighting on the side of good. His replacement is the brash Detective Mills (Brad Pitt), an optimistic young recruit eager to learn, who Somerset takes under his wing. Their first homicide investigation involves an obese man who has been fed at gunpoint to the point of causing his stomach to rupture. With Somerset ready to leave the force, Mills takes on his first solo case in the murder of a rich attorney, a man forced to cut a pound of flesh from his own body. The murder scene has the words 'greed' written in blood. Somerset eventually finds the word 'gluttony' etched in grease in the apartment of the first victim, and he becomes convinced the murders are connected, and that the killer is murdering under the guidance of the seven deadly sins.The genius of Se7en is rooted in the way the movie keeps the audience as clueless as the detectives. Normally in genre pictures such as this, we either know who the killer is and eagerly wait for the investigators to put the pieces together, or we have a line-up of suspects and red herrings to decide from. Here, apart from brief glimpses during a thrilling chase scene, we are devoid of clues. The killer is always one step ahead of Somerset and Mills, alluding to the idea that the mysterious 'John Doe' is indeed having his work guided by a higher power. Of course, he is not, he is merely a man, but this helps gives Se7en dramatic weight, rather than it becoming a nihilistic exercise in cruelty.When, three-quarters of the movie in, the killer hands himself in, the movie becomes a masterclass in writing, slowly building into one of the greatest climaxes in film. Somerset, a decent man who has devoted his life to the side of good but has had the fight slowly drained out of him, meets his nemesis in John Doe (Kevin Spacey). But as they talk, Doe's reasoning becomes clear and, shockingly, almost sympathetic. ""Wanting people to listen, you can't just tap them on the shoulder anymore, you have to hit them with a sledgehammer,"" he says. It's about a world gone to s**t, a view shared by Mills' wife Tracy (Gwyneth Paltrow), who talks to Somerset in a diner about allowing a baby to be born into the world after discovering she is pregnant. Cerebral and Gothic, Se7en transcends the genre on so many levels thanks to some bleak yet stylish direction by Fincher, and it still manages to astound after almost 20 years of repeat viewings.www.the-wrath-of-blog.blogspot.com","
            10/10
            "
"hitchcockthelegend","4 March 2008","Seven is directed by David Fincher and written by Andrew Kevin Walker. It stars Morgan Freeman, Brad Pitt, Gwyneth Paltrow, Kevin Spacey and R. Lee Ermey. Music is scored by Howard Shore and cinematography by Darius Khondji.An unnamed US city and two cops are on the trail of a serial killer who kills his victims according to which one of the seven deadly sins they have committed.Having been stung by the studio interference and negative fall out regarding his directorial debut feature film, Alien 3, David Fincher waited three years before committing to a project that he had control over. The result was Seven, a dark masterpiece of unremitting creeping dread that showcased the work of a clinically excellent director. Seven is not just a movie, it's an experience, an assault on the senses, a jolt to the brain, a trawl through the dark recess of some sick city where it always rains and the darkness holds many fears. This is no boorish slasher movie, it's psychological discord 101, we only see the aftermath of crimes, the discussions of which forces us to delve deep into our own imagination to fill in the blanks, forcing us to go where we don't want to go, you sense the director is somewhere gleefully pulling our strings.""But that's the point. We see a deadly sin on every street corner, in every home, and we tolerate it. We tolerate it because it's common, it's trivial. We tolerate it morning, noon, and night. Well, not anymore. I'm setting the example. What I've done is going to be puzzled over and studied and followed... forever""Seven is very much an ultimate horror film, really is there anything more scary than a serial killer who is smarter than the cops chasing him? Not only that but they are, oblivious as they be, part of the master plan. This killer is not only unstoppable in perpetrating his violent crimes, he is, as Freeman's weary retirement bound Detective Somerset says, methodical and patient. It's going to end bad, the cops know it and so do we, and that's when Fincher and Walker stick their hands into our guts and pull out the last semblance of solids to deliver one of the greatest endings of modern cinema. An ending fit to grace any noir, neo-noir or smart ass psychological horror movie from across the ages. With each viewing of Seven there's the repeating wave of bleak emotions that come as the reversed end credits roll, desolation and disbelief, sadness and shock, our trip through earthly hell is over, but only in the psychical sense!Faultless cast performances, no doubt eked out by what we now know is a task-master director, photography that brilliantly brings to ""light"" the melancholic sheen of a decaying society and a Howard Shore score that crawls out of the speakers and cloaks your body like some evil Incubus or Succubus. Seven, a masterpiece of unease and evil wrung out by a master director. 10/10","
            10/10
            "
"Sleepin_Dragon","15 December 2022","A retiring Detective and a young rookie are hunting down a serial killer, a killer with a dark MO, murdering his victims using the seven deadly sins.As I watch this, it's coming up to its thirtieth anniversary, and it's as fresh now as it was back in 1995, it's an intensely macabre take, crimes that are infinitely macabre and depraved, and intensely twisted.The combination of Freeman and Pitt is incredible, they work immensely well together, we have the fresh zest of Mills, and the unshakable, but battle weary Somerset. Paltrow and Spacey are excellent in support.Two hours flashed past, there is no lull, no moment to switch off and boil the kettle, the intensity is immediate, the pacing designed to keep you glued.I have always thought there is a shade of Alfred Hitchcock about this movie, such is the intelligence of the plot.Very good visuals, the macabre and gruesome bodies look shocking still, nothing is spared or hidden away.10/10.","
            10/10
            "
"chvylvr80","15 October 2003","Seven's quality puts it so far beyond most of the ""cops on trail of deranged killer"" genre that it comes out as a true jewel of cinema. Everything about seven is perfect. It is art captured on film. This movie is a bright spot for all of the stars who worked on it. Brad Pitt never gets the credit he deserves for his acting because he's a pretty boy and the press is a lot more interested about how he and Jennifer are doing. That's a shame because he is a talented actor that isn't afraid to take chances with both the roles that he picks and the characters that he plays. That is quite rare in the A-list world. Morgan Freeman is a great actor. You can always count on him to do what he does best which is play a wise veteran that has seen it all. Kevin Spacey is another great actor that has great range and really puts life and personality into his characters.
The real talent of this movie, excluding the actors that brought it to life, is the director David Fincher and the writer Andrew Kevin Walker. Fincher's talents for making a visually stunning film are now well known and he often brings a dark patina to his work. Andrew Kevin Walker must have some incredible demons living inside him. Either that or one hell of an imagination for bringing the intricate story of Seven and the plan of John Doe to life. John Doe's plan really is twisted and I won't be spoiling it here. Suffice to say I have never seen so evil and complicated a plan in a movie before or since. The cinematography of the film is dark but beautiful and throughout the film it is either night or raining or both except for two very brief moments. It is such an emotional movie that you can't keep from being caught up in what is happening. Do you understand and sympathize with what John Doe is doing or do you think him a mad killer that must be stopped.Bottom Line: If you haven't had the opportunity to see Seven yet then you must at least rent it. It is so damn good that I know you will like it. The only reason you wouldn't is because you're just too damn fragile to take something this hardcore.","
            10/10
            "
"RedRoadster","6 May 2009","It is a rarity for a film to be completely unsettling and yet unrelentingly gripping.David Fincher's story takes place in a bleak and constantly raining city (never named) where urban decay and sleaze in all forms are rampant. Coming up to his retirement from the police force is Detective Lieutenant Somerset (Morgan Freeman) who is tasked with breaking in his replacement, Detective Sergeant Mills (Brad Pitt) before leaving. Somerset is world weary, under no illusions about the futility of the daily role he plays and (initially) wants nothing more than to escape the grime and violence of the city. Mills on the other hand is convinced that he is going to make a real difference having voluntarily transferred to this precinct, bringing his wife to the city with him. Before Somerset can move on, a homicide comes in which he and Mills are assigned to investigate. But its only the first of a string of ritual murders that will be committed by a killer who is basing his crimes on the seven deadly sins as depicted in Dante's ""The divine comedy"".To begin with, Se7en appears to be a standard ""cops on the trail of a killer"" story which shouldn't be too difficult for the audience to get comfortable with. But as we descend along with the characters into the merciless, brutal world without hope that they inhabit, you are left reeling at the events that unfold.The two detectives enjoy an uneasy relationship with no real friendship ever striking up between them. The older Somerset is educated, astute and gives the impression of being emotionally burnt out. Mills, who has no respect for Somersets methodical investigating gets excited at the thought of solving a murder and firmly believes that the good guys will win eventually. The further we get into the action, the might of the evil that they face pushes both men beyond their limits.This film draws heavily on biblical themes and you can certainly see similarities with such films as ""The Seventh Seal"" (1957). Both films show the price that good men have to pay when they fight evil and the unsettling truth that the rule book goes straight out the window when you are dealing with something so diabolical that it has no boundaries or limits at all.Se7en shows us a world which has been destroyed by its own sins, a wasteland in which values are minimal. The killer, having nothing but contempt for this world, sees it as his mission to expose the faults and show everyone what they have become. It is a fascinating twist that when the killers motives become clearer, Somerset with his greater understanding actually feels some degree of empathy with him. This is lost on Mills though, whose level of clarity never reaches the same point.A previous reviewer mentioned that you begin to expect the unexpected whilst watching Se7en and i completely agree. Eventually if you think of the most obvious outcome in any situation and predict that the opposite will happen, it usually does. Even the finale itself became kind of predictable because by then you are conditioned not to have any hope. This is a minor flaw though because the story is so well and so shockingly told.Director David Fincher didn't pick up another script for 18 months, such was his exhaustion and frustration following the completion of Alien 3. Apparently he agreed to direct se7en after one reading of Andrew Kevin Walkers screenplay because he was drawn to its hard hitting delivery about inhumanity. He stated: ""It's psychologically violent. It implies so much, not about why you did but how you did it"". For the camera work specially altered film stock was used to make the visuals look as dark and unsettling as possible which is complemented well by Howard Shores music score.The Most disturbing message that Se7en puts across, is that the fight against evil is destined to be a Pyrrhic victory. But regardless the only thing we can do is fight on whatever the cost. We have no other choice.""The World is a fine place and worth fighting for."" I agree with the second part.","
            10/10
            "
"mjw2305","30 January 2005","Somerset, (Morgan Freeman) a deeply Intellectual Detective, with barely a week left until his retirement and Mills, (Brad Pitt) the new cop in town, who is a pretty weak detective, are thrown together to investigate what at first appears to be another Homicide.After a second Victim is found, Somerset realises that this is no open and shut case, and requests that he is relieved, in light of his impending retirement. Mills gladly takes over the case and plunges himself in way over his head.As the work of a Crimally insane genius continues, Mills grows more and more erratic, and Somerset simply has to remain, to guide his young partner through the case, which ultimately leads to one of the finest climax's in movie history.With Wonderful Performances from both Freeman and Pitt and a really dark and morbid direction from David Fincher, the movie is crammed with suspense, intrigue and Excitement.My Favourite scene is John Doe (Kevin Spacey) tearing into Mills in the car, driving towards the Climax, the acting is simply perfect as Pitt's character is torn apart by the genius of the Criminally insane, and Freeman interjects with insightful rationality, demonstrating his superior mind. The Scene Carries such intensity, and at the same time encapsulates the primary characters basic elements. Most actors can't achieve this level of character depth, but these are three of the finest actors of our time. 10/10","
            10/10
            "
"winner55","14 October 2007","Despite clichés, and a very depressing finale, this is one of the best-made films of its era and genre.The strengths of the film include an odd relationship between the two lead cops, who seem loosely based on the two lead cops of the ""Lethal Weapon"" series, but who (thankfully) never play for laughs, and never really become ""buddies"" - the young cop is too arrogant, and the older cop has too much experience, which the young cop refuses to acknowledge. The two characters are also brilliantly acted by Morgan Freeman and Brad Pitt (probably his best performance).There's one odd flaw in the film - about half-way through, I found that I had learned to ""expect the unexpected"" from the film, which meant that the rest of the film was predictable in a bizarre way - simply decide where the expected move would be, and then expect the unexpected move instead. The most obvious instance of this is in the finale itself, which could be guessed at least 5 minutes ahead of time.Normally, this would be a formula for disaster - but fortunately, the high quality of the film-making twists the film into an edge-of-the-seat suspenseful waiting game as we watch with horror the one cop's encounter with the insanity of pure evil.I didn't want to admire this film (to be honest, I dislike Brad Pitt something fierce), but I'm afraid I must - very professionally made, it delivers its promised suspense all the way.","
            9/10
            "
