"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"jacobs-greenwood","11 December 2016","Capitalizing on two ""hot"" properties of the early sixties, director Robert Wise and the infinitely talented Julie Andrews, this film delivers some pure cinematic magic like none before it nor since, especially the sequences which feature the songs ""Do Re Mi"" (#88 on AFI's 100 Top Movie Songs of All Time) through the streets of Salzburg and ""The Lonely Goatherd"", performed with puppets.These, among others, helped it capture the Best Picture Oscar that year over David Lean's Doctor Zhivago (1965), Stanley Kramer's Ship of Fools (1965), A Thousand Clowns (1965), and Darling (1965), which (like Doctor Zhivago (1965), also) features Julie Christie, in her Oscar winning Best Actress performance. Wise, who would later receive the Irving G. Thalberg Award from the Academy, picked up his second Best Director Oscar for this film; Andrews her second consecutive Best Actress nomination (she'd won for her film debut in Mary Poppins (1964)).Written by Howard Lindsay and Russel Crouse (and Maria von Trapp's novel), Ernest Lehman's screenplay tells the story of the Austrian von Trapp family who, after their first public performance as a singing group, fled when Hitler annexed their country (the Anschluss) in March, 1938. The real von Trapp family had performed all over Europe because Maria, with the help of a local priest (fashioned as Max Detweiler, played by Richard Haydn, in the film), had turned the family's hobby into a profession when an Austrian bank crash caused Georg to lose his fortune.Though this musical is almost three hours in length, the plot interspersed with magnificent Rodgers & Hammerstein songs (helping the film to win the Oscar for Best Music, Scoring of Music, Adaptation or Treatment) keep it from feeling overlong.In fact, it's the kind of film, like The Wizard of Oz (1939), that one can watch every year and never tire of it. The title song is #10 on AFI's 100 Top Movie Songs of All Time; ""My Favorite Things"" is #64. And no one can forget (how do you solve a problem like) ""Maria"", sung in part by Marni Nixon (known for dubbing Deborah Kerr, Natalie Wood, and Audrey Hepburn in The King and I (1956), West Side Story (1961), and My Fair Lady (1964), respectively) in one of her only on-screen appearances as Sister Sophia ... or ""Climb Ev'ry Mountain"", ""Edelweiss"" and ""So Long, Farewell"", especially little Kym Karath's ""goodbye"" in the reprise, as the seven year old Gretl. Each of these tunes, and their just right lyrics, move the story along such that one never has cause to look at one's watch to wonder ""when will it end?"". The film's Sound and Editing, as evidenced in the aforementioned ""Do Re Mi"" and ""The Lonely Goatherd"" numbers, also won Academy Awards.Christopher Plummer (whose singing voice was dubbed by Bill Lee) is terrific as the stern aristocrat widower who marries his governess after she, and his children, had helped the Captain to rediscover song, love, and what it means to be a father. The cast of kids is marvelous, the most recognizable of which is Angela Cartwright as Brigitta, who would go on to star in the TV series Lost in Space that same year. Nicholas Hammond, Friedrich, also had a television career which included playing roles in several series, most notably as Spiderman. Heather Menzies's (Louisa) TV career was shorter. Charmian Carr gives a strong performance as the eldest child Liesl who's ""Sixteen going on Seventeen"". Peggy Wood's head Mother Abbess (whose singing voice was dubbed by Margery McKay) earned her a Best Supporting Actress Oscar nomination. Her best line ""Him?!"", after which she immediately excuses Sister Margaretta (Anna Lee), when Maria is telling her why she's returned to the abbey.I also especially like the ""dueling"" Sisters, Margaretta and Berthe (Portia Nelson) who, despite their disparate feelings towards Maria's suitability as a nun, work together to foil the Nazis in the end. Ben Wright plays a credible Herr Zeller. The recognizable Norma Varden is Frau Schmidt, the von Trapp's housekeeper. And to have the great Eleanor Parker in a supporting role as the Baroness, who presumably doesn't sing or perform (she that forgot her harmonica), such ironic and fortunate casting! Also, Maria von Trapp herself appears briefly, uncredited, during the ""I Have Confidence"" number.The film's Color Art Direction-Set Decoration, Cinematography, Costume Design also received Oscar nominations. Plus, besides being added to the National Film Registry in 2001, the film is #55 on AFI's 100 Greatest Movies list and #27 on AFI's 100 Greatest Love Stories list. #41 on AFI's 100 Most Inspiring Movies list. #4 on AFI's 25 Greatest Movie Musicals list.One of the best family movie night film's ever made, make it an annual tradition in yours!","
            10/10
            "
"davispittman","26 October 2017","The Sound of Music (1965) is an all time classic family musical that has always been one of my favorites. Ever since I was child, I would watch this movie and just love every minute of it. This movie really was destined for greatness from the beginning, anyone at all could have seen that. Between the A list cast, great performances, top notch singing, and the enchanting story.... there's no wonder people still love it to death. Julie Andrews stars as Maria, who is a nun, but not a very good one, and she gets sent to be a governess to the Von Trapp family. The Von Trapp family is a very well to do family in Austria. The father is a former captain and the mother died some time ago. Christopher Plummer plays captain Von Trapp, and he does a great job. Every member of the cast does a great job with their performances, both singing and non. The singing alone in this film is just astounding, every single musical number is just as good, if not better than the previous one. If you do not care for musicals, then I wouldn't really suggest this movie to you. It really is a lot of singing, but it is great singing by talented artists, which is really why it will forever have a place in classic great cinema. 10/10 for The Sound of Music. Enchanting story with lovely entertaining music.","
            10/10
            "
"brett-76260","28 April 2018","Song and dance is definitely not my thing. However I've seen this movie dozens and dozens of times overs the years. It never gets old... if you have never seen it it's well worth your time. They just don't make them like this anymore. Rent it or buy it, a true classic that is perfect from start to finish...","
            10/10
            "
"Smells_Like_Cheese","23 February 2005","Sound of Music is one of the best musicals of all time displaying one of the greatest voices to ever be heard on the silver screen: Julie Andrews. What a wonderful movie that not only I grew up with but still treasure to this day. Sound of Music has everything you could ask for: romance, humor, singing, dancing and a wonderful cast that put their heart and soul into this film. All the songs are recognizable, although I admit that still hearing ""Few Favorite Things"" is strange during Christmas time. But moving on, Sound of Music is a classic film that is still incredible to watch and I always enjoy slipping into my DVD player to this day.Maria, a young nun in an Austrian convent who regularly misses her morning prayers because she enjoys going to the hills to sing the title song. Deciding that Maria needs to learn something about the real world before she can take her vows, the Mother Superior sends her off to be governess for the children of the widowed Captain Von Trapp. Arriving at the Trapp home, Maria discovers that her new boss is cold and aloof, and his seven children virtual automatons-at least, whenever the Captain is around. Otherwise, the kids are holy terrors, as evidenced by the fact that Maria is the latest in a long line of governesses. But Maria soon ingratiates herself with the children, especially oldest daughter Liesl, who is in love with teenaged messenger boy Rolf. As Maria herself begins to fall in love with the Captain, she rushes back to the Abbey so as not to complicate his impending marriage to a glamorous baroness. But the children insist that Maria return, the Baroness steps out of the picture, and Maria and the Captain confirm their love in the song ""Something Good."" Unhappily, they return home from their honeymoon shortly after the Nazis march into Austria. Already, swastikas have been hung on the Von Trapp ancestral home, and Liesl's boyfriend Rolf has been indoctrinated in the ""glories"" of the Third Reich. The biggest blow occurs when Von Trapp is called back to active duty in the service of the Fuhrer. The Captain wants nothing to do with Nazism, and he begins making plans to take himself and his family out of Austria.Julie Andrews had come off fresh from Mary Poppins, which her character wasn't that far from being the nanny caring for children with a stuffy father. But the thing that made this film so special is that you honestly feel the love between Maria and Von Trapp, what a wonderful love story they had. The film is a bit long, but back in the day they had intermissions and oh, boy do I miss that. Come on, Lord of the Rings could have used one of those lol. Back onto Sound of Music, my favorite song is probably ""Confidence in Me"", such life to it due to Julie's beautiful voice and her dancing along the sidewalk could make anyone want to do the same thing. I love The Sound of Music, my boyfriend who hates musicals and said this was the crown of the worst, I asked him to watch it with me to see if he would give it another chance, I glanced over to see him singing a little to the songs! He finally admitted that the songs are very catchy, so see? You can find any little positive thing to say about this film, The Sound of Music brings you to life and you can't help but fall in love with this spectacular musical.10/10","
            10/10
            "
"happipuppi13","6 August 2015","*** This review may contain spoilers ***A few days ago I was thinking,""What Best Picutre winner should I choose for a review?"" Many to choose from of course.The answer came to me when I chose to & replayed
this wonderful film since it had been a few years since seeing it.I recall on The Oprah Winfrey Show ,she had Julie Andrews, Christopher Plummer and all 7 of the, now grown, child actors who played the Von Trapp children. It was the first time they'd all been together in one place since 1965 and it was a very touching reunion.Growing up in the 1970s and 1980s, The Sound Of Music was on TV every year and when you're a kid, it usually is the first ""Best Picture"" Oscar winner that you ever see in your life, without even knowing it.When you see it the first time, the moment you see Andrews in the hills and that sweeping camera shot, you know it's going to be something great.Like many kids, it was only natural I'd like songs like ""Do-Re-Mi"", ""My Favorite Things"", ""So Long, Farewell"" and ""The Lonely Goatherd"" (or ""The Yodeling Song"" as some call it) and more. I liked ""Edelweiss"" and ""Climb Every Mountain"" but not until when I was older. It was on every year in our house.Julie Andrews' singing voice is no longer of this caliber but it's great that we have her in this and ""Mary Poppins"" and other movies, where we can marvel at her vocal abilities back then.Plummer turns in a somewhat serious but enjoyable performance. Going from stern and inflexible, then back to the father the children knew when their mother was alive, fair and loving and (of course) singing.Every kid has their own memorable moments as well The family's togetherness and fun is disrupted by the infiltration of the wretched Nazi party. They know they have to escape their own country now or live under the rule of a cruel & heartless dictatorship.That leads to the most exciting part of the movie. The clever departure after the concert, chase through the city and eventual escape over the mountains.The Sound Of Music, as we know, was a phenomenal success when it was released in March of 1965. It deservedly won for Best Picture and it's other categories.That success came about because it's simply a movie that the whole family and even those without families can enjoy. Which is why it's still so highly acclaimed even now .Lastly, because the people behind the scenes, as well as Andrews & Plummer themselves, made sure the film had an equal balance of fun and that of the serious as well. A job and movie, well doneSounds like ten stars, for all time. (END)","
            10/10
            "
"duffjerroldorg","12 April 2017","Let me confess I'm not a Catholic, I don't have children, I can't stand schmaltz and yet I love The Sound Of Music. I've tried to explain this to myself, let alone to others, without ever finding a satisfactory answer. Yesterday I sat to see it again with a group of kids who hadn't seen it before. They all loved it even the ones who loved Transporters. I asked them afterwards why did they loved it so much and a 12 year old boy's reply was: ""It makes you feel alive"" Wow, I thought, Wow! Of course, that's what I felt too and a 12 year old found the perfect words to express my feelings. Julie Andrews is a the center of this little miracle. She is Sister Maria and her wishes, thoughts and fears are recognizable automatically, because they are, in many ways, my same wishes, thoughts and fears. Perfect. Thank you.","
            10/10
            "
"Sleepin_Dragon","23 June 2023","Seven children are lucky enough to receive the glorious Maria as their new nanny.The Sound of Music is definitely one of the greatest musicals of all time. Even the hardest hearted cynics, like myself, who aren't generally fans of musicals, cannot help but be wrapped in the charms of this film.It's almost three hours long, but it's never dull, it never feels long winded or boring. It is genuinely just the most lovely, uplifting, positive movies of all time, even to this day it still manages to captivate. Sometimes you just need something sweet and comforting, this film is like a warm woolen blanket on an icy cold day.Julie Christie actually won the Oscar that year for her role in Darling, and great though she was, I think many would say that Julie Andrews truly deserved the award for this enchanting, memorable performance. Christie's singing is enchanting.Fortunately the film did actually win the oscar for best movie, and rightly so. This film will never ever lose its charm.10/10.","
            10/10
            "
"TheLittleSongbird","2 April 2009","I know this movie is long, but it is a timeless musical nonetheless. The thing i loved most was the songs by Rodgers and Hammerstein. They are amazing, and make the movie what it is. Another reason why I love it is the magnificent performance of Julie Andrews as Maria, a young woman who wishes for a better life, I suppose. Maria is pretty, with a beautiful voice, mixed with brashness and sadness, all the qualities that Andrews gives to her performances. The only film she disappoints slightly in is Thoroughly Modern Millie. The choreography is superb, as well as the supporting cast, from the likes of Christopher Plummer and co. i can't pick a favourite scene, but who can forget the opening and the ""Do ah Dear"" sequence? i also thought the children were sweet and the film had a number of clever subplots, like Liesels's secret love. 10/10 for a musical, that should be in the top 250. It was number 2 on the Greatest Musicals, losing out to Grease. Bethany Cox","
            10/10
            "
"Poseidon-3","29 April 2002","This film is a triumph in all departments. Every aspect, from the cinematography to the acting, the sets to the costumes, the music, choreography, script, is top notch. While the film is family friendly and has a sweet story, it is constantly amazing the way people attack it as saccharine and sugary. This can certainly be said of the stage show, but the movie version has been carefully produced to provide a more well-rounded vision. Ernest Lehman worked wonders with the underdeveloped and unremarkable dialogue of the play. He inserted so many moments of wit, humor, romance and poignancy that are nowhere in sight in the original. the art directors purposefully chose muted settings and colors. Each of the actors bent over backwards to provide a brilliant performance. Andrews is already down in history for the performance of a lifetime (and a voice to match), but Plummer is not to be forgotten. Not only is he regal and handsome, but his decision to play the Captain as a complex, sophisticated man with a sly dose of sarcasm was wonderful. His steely, stern persona is eventually melted down by the irrepressible Andrews to great effect. Every supporting performance is also delivered with the right amount of appeal, humor or menace as called for in the script. However, the one that takes the cake....that amazes each time, is the slinky, catty, toweringly glamorous Parker as Baroness Schraeder. Wisely, her songs were cut, further separating her from all the glee around her, so that she could whip out such zingers as ""Why didn't you tell me....to bring along my harmonica?"" or when she's told that Andrews may not make a great nun, ""If you need anything, I'd be happy to help you."" The character is given a much more polished and integral position in the film versus the stage and virtually every line of her dialogue (unlike in the play) is a howler. Though Wood was lovely in her role as the Mother Abbess, it was Parker who should have gotten an Oscar nod....and WON! Every expression, every syllable, every glance belies the decades of experience Parker gained as a leading lady during the 40's and 50's. Her clothes by Dorothy Jeakins are awe-inspiring. This type of film-making is GONE. The location photography, the simplicity of story and design, the sheer good-spiritedness of it all...they just can't do this anymore. Thankfully, there's this flawless gem to turn to when one just want to feel good. But saccharine? No..... Compare this to other beloved musicals with their garish colors and sugary story lines (""Seven Brides..."", ""Singin' in the Rain"", ""...Molly Brown"", ""The Music Man"", to name just a few...) They are all highly enjoyable, but are hardly less sweet than this! Just one word.....Nazis!! Though virtually everyone knows the outcome, there is still genuine suspense at the climax of ""The Sound of Music"". The film has it all.","
            9/10
            "
"tfrizzell","28 October 2000","""The Sound of Music"" is an impressive musical that stands above other films of the genre because of interesting characters, top-notch direction, and a truly inspired screenplay.  Julie Andrews (Oscar-nominated) stars as the young nun who leaves the convent to become the governess to a large family. She is instantly at odds with the children's father (Christopher Plummer), but they soon fall in love and get married.  However, evil forces lurk overhead as the Nazis invade their homeland of Austria.  Somewhat based on a true story, ""The Sound of Music"" is one of those rare musicals that works because there is a sense of fear and drama in the film's final act.  This makes the film believable and none of the musical numbers take away from the story or the film's direction.  5 stars out of 5.","
            10/10
            "
