"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"julieshotmail","8 March 2022","""The Tourist"" has a very ""Fargo"" feel to it, set in the vast open fields of Australia which makes it the more fascinating. Starting out with action and a mystery, this short series has enough eclectic elements to keep you captivated. First, there is a mysterious guy, followed by a very sympathetic ""cop,"" delightfully played by Danielle Macdonald. This actress is the biggest revelation here. Danielle portrays the character with so much heart that every scene with her character Helen just shines. More quirky characters are introduced, notably the American cowboy played by an Icelandic actor, the detective, and the cop trainee. The plot does get convoluted but loose ends are still tightened up so you don't lose your grip. The cinematography, camera work, and editing do justice to the sweeping Australian Outback beauty. Best of all, there is some snide dark humor that's quite enjoyable from characters that you least expect to be funny in real life.","
            8/10
            "
"Tweekums","13 January 2022","This six part series opens with a Irish man going to a remote petrol station in the Australian Outback. After he leaves a large lorry starts pursuing him; just as he thinks he has got away the lorry crashes into his car. He wakes up in hospital with no idea who he is or what happened to him. Probationary Police Constable Helen Chambers, talks to him and is determined to help him. After finding a note in his pocket concerning a meeting in a restaurant in another town he heads there hoping to learn more about himself... while he pops out to find a bathroom a bomb goes off demolishing the area he was sitting in. Luci, a waitress at the restaurant offers to help him. Together they track down various possible leads. Meanwhile the man in the lorry is still looking for our mystery protagonist and Detective Inspector Lachlan Rogers has arrived to investigate the bombing. There will be plenty of twists and turns before the truth is revealed.I really enjoyed this series. While there are plenty of laughs to be had by those who enjoy their comedy dark; that doesn't detract from the story being a solid thriller. The opening immediately grabs the viewer; the scene of the lorry chasing our protagonist across the desert was reminded me of 'The Duel' crossed with something out of 'Mad Max'. There are plenty of twists and turns; these were neither too obvious nor too silly. There are a few genuinely shocking moments although none are too gory. The cast does a fine job bringing their interesting characters to life; most obviously Jamie Dornan as 'The Man', Danielle Macdonald as Probationary Constable Helen Chambers, Shalom Brune-Franklin as Luci, Damon Herriman as DI Rogers and Ólafur Darri Ólafsson as the Lorry Driver. The setting, deep in the Outback, looks great and creates a great sense of isolation. Overall a really solid thriller; I'd certainly recommend it to fans of the genre.","
            9/10
            "
"SnoopyStyle","12 January 2022","A man (Jamie Dornan) is run off the road by a tanker truck in the Australian outback. He wakes up in the hospital with full blown amnesia. He doesn't even know his name. New cop Helen Chambers (Danielle Macdonald) doggedly investigates.Jamie Dornan may be the big name of this series, but it's Danielle Macdonald that I find more compelling. She has a great sweetness to her acting. She's basically the cop in Fargo except not pregnant. This show does try to do some comedy mostly through characters like Ethan. It is not my favorite aspect of the show. This lasted two seasons with specific stories for each.","
            7/10
            "
"paul2001sw-1","31 January 2022","'The Tourist' begins when a man wakes up after a car crash in the Australian outback unable to remember who he is, and a viewer might think they're about to watch a familiar kind of drama series. Instead, what follows is uncommonly inventive, in terms of both plot and presentation, frequently blackly comic but just as frequently, plain black. The protagonists vary between those who are purely evil, those who seem decent but with unforgiveable histories, and a few nice guys who mostly don't last very long. By design, it's tonally uneven, though persistantly creative and clever.","
            8/10
            "
"godsnames","2 January 2022","I do not want want to go into serious details about this, mostly because it just hitting the 8 out of 10 mark for me with basically everything. Story, script, acting, dialogues, camerawork, score, all making it way above average. However, the female lead, the policewoman Danielle Macdonald, is a revelation. She manages to be extremely cute and horribly annoying at the same time. In that case, I reckon, I also have to give credit to the director. The conclusion of the story is profoundly shocking. What a ride!","
            8/10
            "
"rich-mac","3 January 2022","I was drawn to this show when I noticed Damon Herriman (Justified, Mr Inbetween) was in it - for me he's usually a signpost that something good is going on.I got through the first episode, which was billed more as a road-trip car duel / horror genre, before realising that this was actually going to be a proper thriller - and one that becomes increasingly binge-worthy as it goes.It does, at times, capture some of the claustrophobia and horror of Wolf Creek, but for me it has more in common with the gradually building menace of Wake in Fright - (in this case) an Irishman out of his depth and out of his mind in outback Australia - never loosing that feeling that everyone else is two steps ahead of him.And I was right about Herriman, he doesn't disappoint, but to single him out would also be to do something of a disservice to a number of great performances and a strong supporting cast - whom, it must be said, seemed quite at home in their lives of quiet desperation ... outback style.Satisfying binge material.","
            8/10
            "
"randymcbeast","15 January 2022","I was absolutely loving this mini series. The first five episodes were brilliant and this was easily headed for a 10. The final episode was a bit choppy though and knocked it down from perfection but it did manage to finish strong.To start, Jamie Dornan is such a powerful screen presence and gave such a strong performance. It was a pleasure watching him throughout. Ólafur Darri Ólafsson, amazing! He stole every scene. I just looked at his past credits and will certainly be watching some of his previous work. Woooo, I just saw that he was Bing Partridge in NOS4A2. I didn't remember him from that. He was a standout there and certainly here as well.Another standout was Damon Herriman. I did remember him from his past work. Dewey Crowe in Justified and Charles Manson in Mindhunter were just a few of past roles where he crushed it, especially Dewey. I wish they would bring Justified back.Other supporting cast did their jobs as well but a special mention to the actors who played the various locals, pretty much all of them. In particular, the helicopter rentals guys and Rhonda Doyle (Constable Carter), hilarious. These were all captivating performances that kept a smile on my face and really pushed this rating up so high.This is a very special TV mini series that is not only worth the watch but should be saved and then savored for when you want to be thoroughly entertained.","
            9/10
            "
"JRB-NorthernSoul","2 January 2022","An Australian set and shot thriller from the Williams brothers, (Liar, The Missing, Baptiste etc.) with the excellent Jamie Dornan.Feels like they've taken the first series of Fargo and rewritten it in the Outback, which is fine by me as I loved Fargo. Production values are excellent and its well made all round and very smartly written.I loved the attention to detail with the minor characters and their quirks and back stories, the inclusion of Iceland's best known actor Ólafur Darri as a mysterious pursuer is one of many imaginative supporting cast decisions.There's much to like here for patient viewers looking for something smart and a bit different. A definite winner. I stayed till the end and it had a satisfying pay-off that I didn't see coming.","
            6/10
            "
"dmerrill-537-56275","4 January 2022","How many times did I look at the guy leaning on the car, the title Tourist and read the description before i decided to watch this? It had to be like 8 times. When i read the description, I thought Duel. When I looked at the title and pic, it just didn't seem like anything. For some reason i finally clicked the button and tarted the first episode. I'm really glad I did. All of the things you first engage with doesn't do this mini-series justice.After watching all 6 episodes, I can tell you it isn't Duel. I have no idea why it's called The Tourist. It's the story of a man who has amnesia after being run off the road by a tractor trailer. We get to go on the journey of discovery with him to find out who he is. We also get to meet an unlikely hero, Helen, a police officer in training. She's a bit overweight and has an a-hole, controlling fiance. She's going to help this amnesiac whether he likes it or not, no matter what. And there's an awful lot of what.My description might lead you to believe this could be a Rom Com, but it isn't. It's a Mystery, a Thriller and in some strange way, a love story too. Definitely worth your time. Just let the story unfold. There are a lot of twists and turns and a lot of interesting characters to get to know along the way.","
            8/10
            "
"gladys64","22 January 2022","A good solid thriller. So many twists. Just when you think you've Sussed it your served another curve ball. Top notch acting from all the cast. Especially the guy and the police woman. Was sceptical at the start as it's an Aussie drama but this show cased our Australian talent very well. Amazing scenery of course. Ending was so good and unexpected and I hope that tiny thread at the end means there will be a season 2. Episode 5 was just too much and too convoluted that I just wanted it to be over. I understand it was an episode that pulled stuff together to a certain extent but it could have been done in a better way. Watched the whole series over 2 nights as we wanted to see where the next twist took you.","
            8/10
            "
